N,P,K,temperature,humidity,ph,rainfall,label
90,42,43,20.8,82.0,6.5,202.9,rice
85,58,41,21.7,80.3,7.0,226.6,rice
60,55,44,23.0,82.3,7.8,263.9,rice
74,35,40,26.4,80.1,6.9,242.8,rice
78,42,42,20.1,81.6,7.6,262.7,rice
91,53,40,26.5,81.4,5.3,264.6,rice
115,55,35,21.5,65.2,5.8,75.4,wheat
125,62,42,23.1,62.3,6.5,85.1,wheat
105,58,45,18.8,58.5,6.1,95.9,wheat
135,65,38,17.2,61.8,5.5,102.3,wheat
110,54,41,24.5,68.9,7.1,81.4,wheat
130,60,39,16.5,55.1,5.9,112.2,wheat
75,55,42,22.2,63.0,6.4,91.2,barley
65,48,45,20.8,60.5,6.8,80.9,barley
80,42,38,18.1,58.8,6.1,75.1,barley
55,37,35,24.2,65.3,7.1,85.9,barley
70,50,40,15.5,55.9,5.9,62.2,barley
112,58,40,32.2,63.5,6.8,75.3,maize
108,52,38,30.8,61.5,7.0,85.1,maize
96,48,42,28.8,65.1,6.5,90.9,maize
81,37,35,26.1,60.3,5.8,105.9,maize
92,54,39,22.5,58.1,5.5,65.2,maize
85,45,41,24.5,68.9,7.1,111.4,maize
95,45,45,28.5,62.2,6.4,450.5,jowar (sorghum)
75,52,42,29.8,65.3,6.1,550.1,jowar (sorghum)
90,38,38,26.1,58.5,5.8,600.9,jowar (sorghum)
105,55,35,31.2,55.8,5.5,400.3,jowar (sorghum)
80,44,41,27.5,68.9,7.1,681.4,jowar (sorghum)
90,40,40,30.5,60.1,5.9,412.2,pearl millet (bajra)
75,45,42,32.8,58.3,6.5,350.1,pearl millet (bajra)
95,38,38,28.1,55.5,5.8,300.9,pearl millet (bajra)
110,50,35,34.2,52.8,5.5,250.3,pearl millet (bajra)
80,44,41,29.5,61.9,7.1,381.4,pearl millet (bajra)
55,45,28,28.2,93.2,6.4,950.5,ragi (finger millet)
45,52,22,29.8,90.3,6.1,1050.1,ragi (finger millet)
60,38,28,26.1,88.5,5.8,1100.9,ragi (finger millet)
40,55,25,31.2,85.8,5.5,800.3,ragi (finger millet)
50,44,21,27.5,91.9,7.1,1181.4,ragi (finger millet)
35,65,75,18.5,16.5,6.5,80.5,chickpea
40,72,79,19.2,17.2,7.0,75.3,chickpea
26,78,82,17.8,15.5,7.2,85.1,chickpea
22,68,84,18.5,19.9,7.5,71.4,chickpea
38,58,83,18.2,17.0,6.3,91.2,chickpea
25,65,22,24.5,62.5,7.0,45.5,lentil
30,72,19,21.2,60.2,7.2,50.3,lentil
16,78,18,18.8,65.5,6.5,35.1,lentil
22,58,24,17.5,69.9,6.5,51.4,lentil
38,58,19,22.2,69.0,6.9,41.2,lentil
25,72,25,19.5,61.8,6.6,46.6,lentil
15,65,22,28.5,45.5,5.8,160.5,pigeon pea (arhar)
20,72,19,31.2,48.2,6.0,175.3,pigeon pea (arhar)
36,78,18,28.8,55.5,5.5,185.1,pigeon pea (arhar)
22,58,24,24.5,49.9,5.5,141.4,pigeon pea (arhar)
